ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name
Asahikawa,Asahikawa,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Bihoro,Bihoro,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Hiratori,Hiratori,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Horobetsu,Horobetsu,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Kushiro,Kushiro,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Maoka,Maoka,,48.141866,142.329834,sakh1245,,Sakhalin Ainu
Nairo,Nairo,,48.141866,142.329834,sakh1245,,Sakhalin Ainu
Nayoro,Nayoro,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Niikappu,Niikappu,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Nukkibetsu,Nukkibetsu,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Obihiro,Obihiro,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Ochiho,Ochiho,,48.141866,142.329834,sakh1245,,Sakhalin Ainu
Oshamambe,Oshamambe,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Raichishka,Raichishka,,48.141866,142.329834,sakh1245,,Sakhalin Ainu
Samani,Samani,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Shiraura,Shiraura,,48.141866,142.329834,sakh1245,,Sakhalin Ainu
Soya,Soya,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
Tarantomari,Tarantomari,,48.141866,142.329834,sakh1245,,Sakhalin Ainu
Yakumo,Yakumo,,43.633654,142.46167,ainu1240,,Hokkaido Ainu
