ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,,summary,bayesian,years,Lee_2013
posterior-1,STATE_10010000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-2,STATE_10020000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-3,STATE_10030000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-4,STATE_10040000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-5,STATE_10050000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-6,STATE_10060000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-7,STATE_10070000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-8,STATE_10080000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-9,STATE_10090000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-10,STATE_10100000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-11,STATE_10110000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-12,STATE_10120000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-13,STATE_10130000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-14,STATE_10140000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-15,STATE_10150000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-16,STATE_10160000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-17,STATE_10170000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-18,STATE_10180000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-19,STATE_10190000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-20,STATE_10200000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-21,STATE_10210000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-22,STATE_10220000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-23,STATE_10230000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-24,STATE_10240000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-25,STATE_10250000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-26,STATE_10260000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-27,STATE_10270000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-28,STATE_10280000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-29,STATE_10290000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-30,STATE_10300000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-31,STATE_10310000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-32,STATE_10320000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-33,STATE_10330000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-34,STATE_10340000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-35,STATE_10350000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-36,STATE_10360000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-37,STATE_10370000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-38,STATE_10380000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-39,STATE_10390000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-40,STATE_10400000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-41,STATE_10410000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-42,STATE_10420000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-43,STATE_10430000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-44,STATE_10440000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-45,STATE_10450000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-46,STATE_10460000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-47,STATE_10470000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-48,STATE_10480000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-49,STATE_10490000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-50,STATE_10500000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-51,STATE_10510000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-52,STATE_10520000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-53,STATE_10530000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-54,STATE_10540000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-55,STATE_10550000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-56,STATE_10560000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-57,STATE_10570000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-58,STATE_10580000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-59,STATE_10590000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-60,STATE_10600000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-61,STATE_10610000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-62,STATE_10620000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-63,STATE_10630000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-64,STATE_10640000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-65,STATE_10650000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-66,STATE_10660000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-67,STATE_10670000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-68,STATE_10680000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-69,STATE_10690000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-70,STATE_10700000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-71,STATE_10710000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-72,STATE_10720000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-73,STATE_10730000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-74,STATE_10740000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-75,STATE_10750000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-76,STATE_10760000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-77,STATE_10770000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-78,STATE_10780000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-79,STATE_10790000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-80,STATE_10800000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-81,STATE_10810000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-82,STATE_10820000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-83,STATE_10830000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-84,STATE_10840000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-85,STATE_10850000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-86,STATE_10860000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-87,STATE_10870000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-88,STATE_10880000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-89,STATE_10890000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-90,STATE_10900000,posterior.trees,true,sample,bayesian,years,Lee_2013
